Facilidad;Selección;Sencillez;Tiempo;Amabilidad;gestion;conocimiento;informacion;atencion;solucion
88.9;100;44.4;66.7;77.8;88.9;88.9;88.9;100;88.9
55.6;55.6;77.8;55.6;77.8;77.8;55.6;77.8;77.8;100
77.8;66.7;100;77.8;100;100;100;100;100;100
40;50;60;60;40;60;50;60;60;40
33.3;88.9;88.9;33.3;88.9;88.9;88.9;55.6;55.6;77.8
88.9;88.9;77.8;66.7;100;88.9;100;100;88.9;100
100;100;100;100;100;100;100;100;100;100
50;40;60;40;40;60;60;60;50;60
55.6;77.8;100;55.6;100;66.7;88.9;44.4;77.8;88.9
77.8;100;100;66.7;100;88.9;100;100;100;100
77.8;100;55.6;66.7;100;77.8;100;100;66.7;100
77.8;100;100;55.6;100;100;100;100;100;100
66.7;66.7;66.7;44.4;55.6;77.8;66.7;66.7;55.6;77.8
77.8;77.8;66.7;77.8;77.8;88.9;88.9;77.8;88.9;66.7
88.9;100;77.8;88.9;100;100;100;100;88.9;100
40;50;50;60;60;60;60;50;40;60
40;60;60;60;40;60;40;60;60;60
100;100;66.7;66.7;100;100;100;100;100;100
100;77.8;100;44.4;77.8;100;44.4;66.7;44.4;0
100;100;100;100;100;100;100;100;100;100
77.8;77.8;88.9;66.7;100;100;100;100;100;100
11.1;44.4;22.2;0;0;0;0;0;11.1;0
77.8;77.8;44.4;22.2;77.8;66.7;66.7;66.7;66.7;66.7
40;60;60;60;60;50;40;40;60;40
60;40;40;60;40;50;60;50;50;50
90;70;100;100;80;70;80;90;90;100
55.6;77.8;55.6;77.8;100;55.6;55.6;55.6;55.6;77.8
20;10;10;10;30;0;0;30;0;10
70;90;80;80;70;70;100;70;100;100
77.8;44.4;77.8;44.4;100;77.8;77.8;100;100;77.8
90;100;70;90;80;80;80;90;70;100
33.3;77.8;44.4;0;100;77.8;77.8;100;100;100
55.6;66.7;66.7;77.8;88.9;88.9;77.8;77.8;77.8;88.9
40;40;50;40;60;60;60;40;60;50
50;40;50;50;40;60;40;40;40;50
77.8;77.8;44.4;44.4;88.9;88.9;22.2;77.8;44.4;22.2
77.8;100;100;100;100;100;100;100;100;100
50;50;40;40;60;50;40;60;50;40
77.8;77.8;88.9;88.9;100;77.8;88.9;88.9;88.9;66.7
77.8;77.8;100;66.7;100;100;100;100;77.8;77.8
11.1;88.9;100;77.8;100;100;100;100;88.9;100
100;100;100;44.4;100;100;100;100;100;100
100;100;100;77.8;11.1;11.1;11.1;44.4;66.7;44.4
10;30;10;20;0;0;10;10;30;10
10;30;0;30;10;10;0;20;0;20
100;100;100;77.8;100;100;100;100;100;100
100;100;100;100;100;100;77.8;100;100;66.7
0;0;44.4;44.4;100;100;100;100;100;100
0;100;100;44.4;100;100;100;100;100;77.8
100;100;100;100;100;100;100;100;100;100
88.9;88.9;88.9;77.8;88.9;88.9;77.8;88.9;77.8;88.9
100;100;100;77.8;100;100;100;100;100;100
60;60;50;60;60;60;60;60;60;40
100;100;100;100;100;100;100;100;100;100
30;0;20;30;20;30;30;10;10;0
44.4;100;77.8;11.1;88.9;77.8;66.7;66.7;77.8;77.8
44.4;100;77.8;100;100;100;100;100;100;100
0;0;10;10;20;10;30;20;30;20
100;100;100;100;100;100;100;100;100;100
22.2;33.3;55.6;44.4;88.9;44.4;44.4;66.7;77.8;0
66.7;100;44.4;0;22.2;22.2;22.2;0;44.4;0
100;88.9;100;66.7;55.6;66.7;66.7;77.8;44.4;55.6
40;60;60;40;60;50;60;50;40;40
66.7;77.8;66.7;44.4;77.8;66.7;88.9;88.9;77.8;88.9
88.9;100;100;88.9;100;100;100;88.9;100;88.9
0;20;10;20;20;20;30;30;10;20
66.7;88.9;66.7;33.3;77.8;66.7;88.9;66.7;66.7;55.6
44.4;77.8;55.6;88.9;100;66.7;55.6;88.9;77.8;22.2
77.8;100;77.8;88.9;100;100;100;100;88.9;77.8
100;100;100;77.8;100;100;100;100;77.8;100
77.8;77.8;100;66.7;100;100;100;100;88.9;100
100;100;100;77.8;100;100;100;100;100;100
10;30;20;30;30;30;30;0;0;30
66.7;44.4;44.4;77.8;88.9;55.6;77.8;66.7;88.9;88.9
0;0;0;0;0;0;0;0;0;0
90;70;90;100;90;100;80;100;90;100
40;50;40;40;40;40;50;50;50;60
44.4;100;55.6;44.4;88.9;88.9;88.9;77.8;33.3;77.8
100;77.8;77.8;77.8;100;100;77.8;77.8;100;44.4
77.8;44.4;77.8;77.8;100;77.8;77.8;44.4;77.8;77.8
100;100;100;55.6;100;100;100;100;100;100
20;10;20;0;20;0;10;0;0;0
40;60;60;50;50;60;40;60;40;50
55.6;88.9;77.8;77.8;88.9;77.8;77.8;77.8;66.7;77.8
44.4;22.2;44.4;22.2;77.8;22.2;44.4;44.4;44.4;44.4
80;70;90;100;70;80;100;70;90;90
70;70;90;80;80;70;80;70;90;100
70;80;70;70;100;100;80;70;90;90
80;70;90;90;70;90;70;70;100;90
50;60;40;40;60;40;60;50;40;50
33.3;22.2;55.6;77.8;55.6;66.7;44.4;77.8;88.9;88.9
77.8;100;100;77.8;88.9;88.9;77.8;88.9;100;77.8
22.2;100;77.8;11.1;88.9;88.9;77.8;100;77.8;66.7
50;50;50;50;40;40;50;50;50;50
80;90;80;90;70;100;70;70;90;100
100;100;100;44.4;100;100;100;100;44.4;100
40;60;60;60;40;60;50;60;50;40
100;100;100;77.8;100;100;100;100;100;100
11.1;44.4;44.4;66.7;0;0;0;11.1;0;0
66.7;88.9;55.6;22.2;66.7;100;55.6;100;33.3;44.4
10;0;30;10;10;20;10;30;30;20
10;20;30;20;30;0;10;20;20;0
77.8;77.8;77.8;44.4;77.8;77.8;77.8;66.7;77.8;77.8
77.8;33.3;66.7;33.3;88.9;77.8;66.7;88.9;55.6;88.9
77.8;66.7;77.8;88.9;88.9;55.6;88.9;77.8;66.7;88.9
66.7;88.9;100;66.7;100;100;88.9;100;100;44.4
100;100;100;77.8;100;100;100;33.3;77.8;100
80;100;80;70;70;90;70;100;100;90
33.3;44.4;77.8;55.6;55.6;55.6;0;11.1;44.4;0
66.7;88.9;44.4;0;100;88.9;88.9;77.8;88.9;100
11.1;55.6;55.6;0;55.6;33.3;0;0;55.6;0
77.8;100;100;66.7;100;100;100;100;77.8;100
30;0;30;0;20;20;20;0;10;10
33.3;11.1;44.4;77.8;88.9;77.8;66.7;77.8;66.7;44.4
20;0;30;20;20;0;10;30;10;30
44.4;44.4;44.4;0;44.4;33.3;77.8;77.8;33.3;22.2
22.2;100;44.4;0;100;88.9;100;88.9;88.9;100
44.4;44.4;33.3;44.4;66.7;77.8;22.2;22.2;66.7;88.9
80;80;80;90;90;90;100;90;70;80
88.9;100;88.9;66.7;100;77.8;88.9;88.9;77.8;88.9
88.9;100;100;77.8;77.8;88.9;88.9;88.9;100;100
22.2;100;77.8;55.6;100;88.9;100;100;77.8;88.9
40;40;40;60;40;40;50;60;50;50
77.8;100;100;44.4;100;100;77.8;77.8;55.6;77.8
20;0;10;30;0;30;0;0;20;30
10;0;30;10;20;20;20;20;10;20
66.7;77.8;100;33.3;100;66.7;88.9;100;100;66.7
100;100;90;80;70;80;80;100;70;90
77.8;77.8;77.8;88.9;77.8;66.7;77.8;88.9;77.8;88.9
100;80;100;90;100;90;80;80;70;70
22.2;22.2;66.7;22.2;77.8;66.7;77.8;100;66.7;77.8
90;100;70;80;90;80;80;100;100;70
80;90;90;80;80;100;100;100;70;80
20;0;10;30;10;20;30;0;20;20
77.8;100;100;0;100;77.8;44.4;11.1;77.8;11.1
50;60;40;60;40;50;60;60;50;60
66.7;100;100;22.2;100;100;100;100;77.8;100
77.8;100;77.8;44.4;88.9;66.7;77.8;88.9;55.6;88.9
100;100;100;66.7;100;100;100;100;88.9;100
0;0;0;44.4;100;0;0;44.4;100;0
77.8;88.9;100;33.3;100;100;77.8;77.8;77.8;100
88.9;100;100;55.6;88.9;66.7;77.8;100;88.9;100
77.8;77.8;100;66.7;100;100;100;100;77.8;100
50;50;50;50;40;50;40;50;50;50
70;80;90;90;90;70;100;100;70;70
44.4;44.4;44.4;66.7;77.8;44.4;44.4;44.4;44.4;77.8
100;100;100;100;77.8;44.4;11.1;22.2;77.8;0
100;100;100;100;100;100;100;100;100;100
100;100;100;77.8;100;77.8;100;100;77.8;77.8
22.2;44.4;22.2;22.2;55.6;22.2;44.4;44.4;22.2;0
77.8;77.8;44.4;22.2;44.4;55.6;55.6;77.8;22.2;55.6
50;40;50;60;40;40;60;40;50;60
80;90;90;80;70;100;100;90;90;70
10;10;10;0;0;30;0;30;0;0
11.1;44.4;0;0;0;0;0;0;0;0
77.8;100;44.4;100;100;100;100;100;100;100
50;40;50;50;40;60;40;40;50;60
